ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9166059723233795,0.9424372906740885,0.7117750439367311,0.4364224137931034,0.5410821643286573,0.516171819793367
Decision Tree,0.9164845836368051,0.931497874310109,0.6612903225806451,0.5301724137931034,0.5885167464114832,0.5467735350890548
kNN,0.9082301529497451,0.8993419500919855,0.641914191419142,0.4191810344827586,0.5071707953063885,0.47171514481093213
Naive Bayes,0.8203447438698713,0.8393286534742205,0.3495092693565976,0.6907327586206896,0.46415640839971034,0.400918301572476
Random Forest,0.892571012381646,0.9509251615642247,0.513530522341095,0.8793103448275862,0.6483909415971395,0.6198537827457337
